Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Flower Playing-Spring Version","Anan Ryoko","Koisuru Nihongo","ca's write n daydream companion","Playlist","JPD731100004","5DPEYQ9gJPRnLhhkw2hLWO"
"24 Preludes, Op. 11: No. 1 in C Major","Alexander Scriabin","Scriabin: Preludes, Vol. 1","ca's write n daydream companion","Playlist","HKI199712203","5VUqbQ8Z5NXEITbmFhAhbk"
"A Mischievous Wind","Minuano","Love Logic","ca's write n daydream companion","Playlist","JPG100902010","5fJNyc7H59pCIyvKoAQDxL"
"A Town with an Ocean View","Joe Hisaishi","Kiki's Delivery Service Soundtrack Music Collection","ca's write n daydream companion","Playlist","JPTK08980603","2ZJ28Rm7OXMYJshLtp5uff"
"Fletcher's Song","Justin Hurwitz","Whiplash (Original Motion Picture Soundtrack) [Deluxe Edition]","ca's write n daydream companion","Playlist","GB6LT2000013","67a3JSf8M6c2MY3nFTyqIV"
"初戀","Takeshi Senoo","RETRO MODERN DANDY","ca's write n daydream companion","Playlist","JPH900900070","1zYjk36LJjAxjAb6izoUSJ"
"男はつらいよ","Takeshi Senoo","RETRO MODERN DANDY","ca's write n daydream companion","Playlist","JPH900900130","2DjegKwMOm3ayLdr299vHf"
"サクラ咲ク","Takeshi Senoo","RETRO MODERN DANDY","ca's write n daydream companion","Playlist","JPH900900010","3SQpONLkZGGXuX3fBYA2xn"
"エンドロール","Takeshi Senoo","RETRO MODERN DANDY","ca's write n daydream companion","Playlist","JPH900900020","6dSXb53tMwFvN8kTEGtfpb"
"東京の屋根の下","Takeshi Senoo","RETRO MODERN DANDY","ca's write n daydream companion","Playlist","JPH900900040","45Xjj1wNBw1NFAaEBGTnRA"
"君の未来、僕の想い","Takeshi Senoo","RETRO MODERN DANDY","ca's write n daydream companion","Playlist","JPH900900060","7tYf1k53pnkRdIcfjcHSF9"
"Just Give Me One More Day - Old Piano Version","Alej","Just Give Me One More Day (Old Piano Version)","ca's write n daydream companion","Playlist","QZNWX2396956","2lGAMzbtEEpPDO09buo5HO"
"Souvenir d'Italie","Lelio Luttazzi","Le mie preferite","ca's write n daydream companion","Playlist","IT0660700005","6CeajvxcjyZ46cGbrKwq9n"
"Love Letter","Cavendish Music","Swing","ca's write n daydream companion","Playlist","GBBGY1335713","5qv15HeDSPijZk6yUW0bbZ"
"Summer in Paris","Cavendish Music","Swing","ca's write n daydream companion","Playlist","GBBGY1335704","37ElRFxWflXV2haXQFSxdz"
"Colette - Remastered 2022","Piero Piccioni","Addio Alexandra (Original Motion Picture Soundtrack / Remastered 2022)","ca's write n daydream companion","Playlist","ITC002100939","2iUWwgpnvKT17EcbxHlq5n"
"Childhood memories","Luxid","Canvas","ca's write n daydream companion","Playlist","QZK6P2208379","5bu4eJoCXlqc0rRAZMggUm"
"Otra Vez","ProdMarvin","Otra Vez","ca's write n daydream companion","Playlist","QM6P42331420","5LNf5l8xXqus1s9A43ReEZ"
"Petite Tonkinoise","Henri Christiné","La Belle Epoque","ca's write n daydream companion","Playlist","BEQ010300267","0j0At0rJ5crQQPU5Ep28EA"
"First Love","Luxid","Canvas","ca's write n daydream companion","Playlist","QZK6P2208384","6H2ExZsSEalOWOUewyqyl1"
"Romance","Luxid","Canvas","ca's write n daydream companion","Playlist","QZK6P2208381","3P6IynnTpvEkdKjix1Ro60"
"Flower petals","Luxid","Canvas","ca's write n daydream companion","Playlist","QZK6P2208386","6STyLPgXchwolOzbsl7Y3f"
"春蝉","Gontiti","humble music","ca's write n daydream companion","Playlist","JPES01100524","1OfNR2Z3w30HHUcPwJOxEv"
"you stand before the sunset","haruka nakamura","Still Life II","ca's write n daydream companion","Playlist","JPB672004015","6fiNCwXMTeErr4t6Thm8OM"
"better day","haruka nakamura","Still Life","ca's write n daydream companion","Playlist","JPB672003902","2qxcJOmtwcZcrRAomsI98D"
"Someone's Night - Instrumental","Coffeeboy","Romance","ca's write n daydream companion","Playlist","KRNAR1710174","1BS8naBst0qJNlEcWqXifE"
"l'adieu","Epitone Project","STOP OVER","ca's write n daydream companion","Playlist","KRA382204883","7L28DSfkr3AogGEyVcDlVM"
"Melt","옐로우페이퍼","이 겨울, 너에게","ca's write n daydream companion","Playlist","KRA341457291","7caAGti4nXI7yE9qjuuf3E"
"Into the memories","Lee Gyu Ok","The Package (Original Television Soundtrack) Special","ca's write n daydream companion","Playlist","KRNAR1709403","09229dvxYNK47AEztLtdpk"
"오솔길","Jung Jae Hyung","Le Petit Piano","ca's write n daydream companion","Playlist","KRA901000018","1tHCpcSrpcUHfESQWQIiYJ"
"GOOD NIGHT","You Hee Yeol","내 마음속에","ca's write n daydream companion","Playlist","KRF681801133","3olpAbjo7pEKb1hf2VQoNI"
"Asking Tomorrow","J Dawoon","DounceBounce","ca's write n daydream companion","Playlist","KSA012106578","3odULnlVl7e7slpwVibY8n"
"당신의 사랑이 늘 행복하기를.","By Jun","바이준: 베스트","ca's write n daydream companion","Playlist","KRA341506623","77gbrd0tEWB1tle1LPCM1p"
"Rainy day (Inst.) - Inst.","Light & Salt","2nd","ca's write n daydream companion","Playlist","KRY661301037","0FyEOqacES5UGB7lFXv1nU"
"summer rust","orbe","orbe Ⅰ","ca's write n daydream companion","Playlist","JPR502204276","3o6F907GnRak1czpdtcGzF"
"新しい朝","haruka nakamura","スティルライフ","ca's write n daydream companion","Playlist","JPB672003904","4UrzsH3T5HTD96Ooj7pjpL"
"Tutu","Keiichiro Shibuya","ATAK024 Midnight Swan","ca's write n daydream companion","Playlist","TCJPM2023226","0HtgWGtliiBBeZ8S8PvCL1"
"夜想","江﨑文武","はじまりの夜","ca's write n daydream companion","Playlist","JPPO02301473","2okAltELa8wCQ2chlTFSE4"
"無花果","Kadan","CASA (remastered version)","ca's write n daydream companion","Playlist","JPB672304469","0kucpGXQQ2xLphWKhPvKII"
"September 16 / Es-dur(変ホ長調)","Iwamura Ryuta","Monday Impression","ca's write n daydream companion","Playlist","JPB671602561","1jFEWJX1CHFfw7fVY4Ocwj"
"ある光","haruka nakamura","スティルライフ","ca's write n daydream companion","Playlist","JPB672003903","3QdbGm4A3psSeblu0V9tiA"
"花火","yuma yamaguchi","映画「おじいちゃん、死んじゃったって。」　オリジナル・サウンドトラック","ca's write n daydream companion","Playlist","JPZ921713206","33kjgxY19vUIZGrP7wzzRv"
"tandem","冬にわかれて","タンデム","ca's write n daydream companion","Playlist","TCJPO2135823","7433iNO0RxDEIwNQi3ATNW"
"the light from the north","orbe","orbe Ⅰ","ca's write n daydream companion","Playlist","JPR502204273","1ppch6Gci6zh13WfIwwgEW"
"双子虫Ⅰ","角銅真実","映画「恋する寄生虫」オリジナルサウンドトラック","ca's write n daydream companion","Playlist","JPN622100025","6aJsMESuIJWIDRoeK1DYvU"
"flowers","haruka nakamura","Nujabes PRAY Reflections","ca's write n daydream companion","Playlist","JPH492105063","0CsUVQbIbUydJWPqOvAuzZ"
"本音","yuma yamaguchi","映画「おじいちゃん、死んじゃったって。」　オリジナル・サウンドトラック","ca's write n daydream companion","Playlist","JPZ921713207","3xXCqxUmd3JPeycQRZde3W"
"Corner of Memories","dom mino'","Unknown Coordinates","ca's write n daydream companion","Playlist","USTCC0917575","7rIEgUFV4TX7mnfOAms0x3"
"Moonlit Winter","Kim Haewon","Moonlit Winter (Original Soundtrack)","ca's write n daydream companion","Playlist","KRMIM1921248","4yJITohBUcmUwIc3S53FFK"
"Wandering In Dream","Kim Haewon","Moonlit Winter (Original Soundtrack)","ca's write n daydream companion","Playlist","KRMIM1921257","4JL6y3ISSDSZ6dFTCfAuTw"
"草いろの朝","Takuro Kikuchi","森のとびら","ca's write n daydream companion","Playlist","JPZ922310955","6u1aruEntdGliOfb6hS58Q"
"In the Mist","Tico Moon","Arietta","ca's write n daydream companion","Playlist","JPB291605005","3UrztnIFSszMogk91JNlci"
"Afternoon Menuet","Itoko Toma","Afternoon Menuet","ca's write n daydream companion","Playlist","GBWMY2300980","3gwPzTvwKW5OIEeW1LmQm6"
"I Said So","Takumi Kaneko","Unwind","ca's write n daydream companion","Playlist","JPP951300198","6uEweldZy6mo1h2BeMJzoQ"
"Petals in a Breeze","Itoko Toma","Novelletten #1","ca's write n daydream companion","Playlist","SE5ZV2205703","3TtdSePGpXpmTQDTblgyrv"
"Sophie’s Garden","Sagong","optimist","ca's write n daydream companion","Playlist","KRMIM2102683","1sZbk8fvbRwR98pILetzX2"
"teacup ride","Tico Moon","Daydream Garden","ca's write n daydream companion","Playlist","JPB291104505","57faP2s3fuSickdmWOfsSN"
"Prairie Home Suite Part 3","the sleeping beauty","Auguries","ca's write n daydream companion","Playlist","USTC60878251","3eY4iKY9Z9lynf5eKcyhZg"
"Blue Stone of Atlas - Piano Solo Version","Hikaru Shirosu","Blue Stone of Atlas (Piano Solo Version)","ca's write n daydream companion","Playlist","USLZJ1934547","7N05mAG1X23Sd2PNOyoJSF"
"Prelude No. 3, Final Stars","Hikaru Shirosu","Prelude No. 3, Final Stars","ca's write n daydream companion","Playlist","QZTV32271068","6HXPnLjDnlXiPRMcE0liej"
"Hustle and Bustle","Gontiti","「we are here」-40 years have passed and we are here-","ca's write n daydream companion","Playlist","JPPC01802116","7syLt4Pfm7qB3uVfyGHvau"
